"No.","Time","Source","Destination","Protocol","Length","Info"
"971","2.308630","150.100.0.2","150.100.12.137","TCP","158","57300  >  49153 [ACK] Seq=901 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"972","2.308699","150.100.12.137","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"973","2.309023","150.100.0.2","150.100.15.11","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"974","2.310161","150.100.0.2","150.100.15.8","TCP","64","57300  >  49153 [ACK] Seq=1401 Ack=701 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"975","2.315248","150.100.0.2","150.100.15.7","TCP","64","57300  >  49153 [ACK] Seq=1401 Ack=701 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"976","2.322592","150.100.12.136","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"977","2.322592","150.100.0.2","150.100.12.136","TCP","158","57300  >  49153 [ACK] Seq=801 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"978","2.322605","150.100.0.2","150.100.12.136","TCP","158","57300  >  49153 [ACK] Seq=901 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"979","2.322675","150.100.12.136","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"980","2.335034","150.100.0.2","150.100.15.10","TCP","64","57300  >  49153 [ACK] Seq=1201 Ack=601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"981","2.345091","150.100.15.10","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
